Name,District,Type,Description,SchoolYear
PRINCETON ISD,43911,F,NON-METROPOLITAN FAST GROWING,2010-11
PRINGLE-MORSE CISD,98903,H,RURAL,2010-11
PROGRESO ISD,108910,G,NON-METROPOLITAN STABLE,2010-11
PROSPER ISD,43912,D,OTHER CENTRAL CITY SUBURBAN,2010-11
QUANAH ISD,99903,H,RURAL,2010-11
QUEEN CITY ISD,34907,G,NON-METROPOLITAN STABLE,2010-11
QUINLAN ISD,116908,G,NON-METROPOLITAN STABLE,2010-11
QUITMAN ISD,250904,E,INDEPENDENT TOWN,2010-11
RADIANCE ACADEMY OF LEARNING,15815,I,CHARTER SCHOOL DISTRICTS,2010-11
RAINS ISD,190903,G,NON-METROPOLITAN STABLE,2010-11
RALLS ISD,54903,H,RURAL,2010-11
RAMIREZ CSD,66005,H,RURAL,2010-11
RANCH ACADEMY,234801,I,CHARTER SCHOOL DISTRICTS,2010-11
RANDOLPH FIELD ISD,15906,G,NON-METROPOLITAN STABLE,2010-11
RANGER ISD,67907,H,RURAL,2010-11
RANKIN ISD,231902,H,RURAL,2010-11
RAPOPORT ACADEMY PUBLIC SCHOOL,161802,I,CHARTER SCHOOL DISTRICTS,2010-11
RAUL YZAGUIRRE SCHOOL FOR SUCCESS,101806,I,CHARTER SCHOOL DISTRICTS,2010-11
RAVEN SCHOOL,236801,I,CHARTER SCHOOL DISTRICTS,2010-11
RAYMONDVILLE ISD,245903,D,OTHER CENTRAL CITY SUBURBAN,2010-11
REAGAN COUNTY ISD,192901,G,NON-METROPOLITAN STABLE,2010-11
RECONCILIATION ACADEMY,57841,I,CHARTER SCHOOL DISTRICTS,2010-11
RED LICK ISD,19911,H,RURAL,2010-11
RED OAK ISD,70911,C,OTHER CENTRAL CITY,2010-11
REDWATER ISD,19906,G,NON-METROPOLITAN STABLE,2010-11
REFUGIO ISD,196903,H,RURAL,2010-11
RESPONSIVE EDUCATION SOLUTIONS,221801,I,CHARTER SCHOOL DISTRICTS,2010-11
RICARDO ISD,137902,H,RURAL,2010-11
RICE CISD,45903,G,NON-METROPOLITAN STABLE,2010-11
RICE ISD,175911,D,OTHER CENTRAL CITY SUBURBAN,2010-11
RICHARD MILBURN ACADEMY (AMARILLO),188801,I,CHARTER SCHOOL DISTRICTS,2010-11
RICHARD MILBURN ACADEMY (ECTOR COU,68801,I,CHARTER SCHOOL DISTRICTS,2010-11
RICHARD MILBURN ACADEMY (FORT WORT,220812,I,CHARTER SCHOOL DISTRICTS,2010-11
RICHARD MILBURN ACADEMY (SUBURBAN,101854,I,CHARTER SCHOOL DISTRICTS,2010-11
RICHARD MILBURN ALTER HIGH SCHOOL,14801,I,CHARTER SCHOOL DISTRICTS,2010-11
RICHARD MILBURN ALTER HIGH SCHOOL,178804,I,CHARTER SCHOOL DISTRICTS,2010-11
RICHARDS ISD,93905,H,RURAL,2010-11
RICHARDSON ISD,57916,B,MAJOR SUBURBAN,2010-11
RICHLAND COLLEGIATE HS OF MATH SCI,57840,I,CHARTER SCHOOL DISTRICTS,2010-11
RICHLAND SPRINGS ISD,206902,H,RURAL,2010-11
RIESEL ISD,161912,H,RURAL,2010-11
RIO GRANDE CITY CISD,214901,D,OTHER CENTRAL CITY SUBURBAN,2010-11
RIO HONDO ISD,31911,G,NON-METROPOLITAN STABLE,2010-11
RIO VISTA ISD,126907,G,NON-METROPOLITAN STABLE,2010-11
RIPLEY HOUSE CHARTER SCHOOL,101853,I,CHARTER SCHOOL DISTRICTS,2010-11
RISE ACADEMY,152802,I,CHARTER SCHOOL DISTRICTS,2010-11
RISING STAR ISD,67908,H,RURAL,2010-11
RIVER ROAD ISD,188902,D,OTHER CENTRAL CITY SUBURBAN,2010-11
RIVERCREST ISD,194903,H,RURAL,2010-11
RIVIERA ISD,137903,H,RURAL,2010-11
ROBERT LEE ISD,41902,H,RURAL,2010-11
ROBINSON ISD,161922,D,OTHER CENTRAL CITY SUBURBAN,2010-11
ROBSTOWN ISD,178909,G,NON-METROPOLITAN STABLE,2010-11
ROBY CISD,76903,H,RURAL,2010-11
ROCHELLE ISD,160904,H,RURAL,2010-11
ROCKDALE ISD,166904,G,NON-METROPOLITAN STABLE,2010-11
ROCKSPRINGS ISD,69901,H,RURAL,2010-11
ROCKWALL ISD,199901,E,INDEPENDENT TOWN,2010-11
ROGERS ISD,14907,G,NON-METROPOLITAN STABLE,2010-11
ROMA ISD,214903,E,INDEPENDENT TOWN,2010-11
ROOSEVELT ISD,152908,D,OTHER CENTRAL CITY SUBURBAN,2010-11
ROPES ISD,110905,H,RURAL,2010-11
ROSCOE ISD,177901,H,RURAL,2010-11
ROSEBUD-LOTT ISD,73905,H,RURAL,2010-11
ROTAN ISD,76904,H,RURAL,2010-11
ROUND ROCK ISD,246909,B,MAJOR SUBURBAN,2010-11
ROUND TOP-CARMINE ISD,75908,H,RURAL,2010-11
ROXTON ISD,139908,H,RURAL,2010-11
ROYAL ISD,237905,D,OTHER CENTRAL CITY SUBURBAN,2010-11
ROYSE CITY ISD,199902,F,NON-METROPOLITAN FAST GROWING,2010-11
RULE ISD,104903,H,RURAL,2010-11
RUNGE ISD,128903,H,RURAL,2010-11
RUSK ISD,37907,G,NON-METROPOLITAN STABLE,2010-11
S AND S CISD,91914,D,OTHER CENTRAL CITY SUBURBAN,2010-11
SABINAL ISD,232902,H,RURAL,2010-11
SABINE ISD,92906,D,OTHER CENTRAL CITY SUBURBAN,2010-11
SABINE PASS ISD,123913,F,NON-METROPOLITAN FAST GROWING,2010-11
SAINT JO ISD,169911,H,RURAL,2010-11
SALADO ISD,14908,D,OTHER CENTRAL CITY SUBURBAN,2010-11
SALTILLO ISD,112909,H,RURAL,2010-11
SAM RAYBURN ISD,74917,H,RURAL,2010-11
SAMNORWOOD ISD,44904,H,RURAL,2010-11
SAN ANGELO ISD,226903,C,OTHER CENTRAL CITY,2010-11
SAN ANTONIO CAN HIGH SCHOOL,15817,I,CHARTER SCHOOL DISTRICTS,2010-11
SAN ANTONIO ISD,15907,A,MAJOR URBAN,2010-11
SAN ANTONIO PREPARATORY ACADEMY,15824,I,CHARTER SCHOOL DISTRICTS,2010-11
SAN ANTONIO SCHOOL FOR INQUIRY & C,15820,I,CHARTER SCHOOL DISTRICTS,2010-11
SAN ANTONIO TECHNOLOGY ACADEMY,15823,I,CHARTER SCHOOL DISTRICTS,2010-11
SAN AUGUSTINE ISD,203901,G,NON-METROPOLITAN STABLE,2010-11
SAN BENITO CISD,31912,D,OTHER CENTRAL CITY SUBURBAN,2010-11
SAN DIEGO ISD,66902,G,NON-METROPOLITAN STABLE,2010-11
SAN ELIZARIO ISD,71904,G,NON-METROPOLITAN STABLE,2010-11
SAN FELIPE-DEL RIO CISD,233901,E,INDEPENDENT TOWN,2010-11
SAN ISIDRO ISD,214902,H,RURAL,2010-11
SAN MARCOS CISD,105902,C,OTHER CENTRAL CITY,2010-11
SAN PERLITA ISD,245904,H,RURAL,2010-11
SAN SABA ISD,206901,H,RURAL,2010-11
SAN VICENTE ISD,22903,H,RURAL,2010-11
SANDS CISD,58909,H,RURAL,2010-11
SANFORD-FRITCH ISD,117903,G,NON-METROPOLITAN STABLE,2010-11
SANGER ISD,61908,D,OTHER CENTRAL CITY SUBURBAN,2010-11
SANTA ANNA ISD,42903,H,RURAL,2010-11
SANTA FE ISD,84909,G,NON-METROPOLITAN STABLE,2010-11
SANTA GERTRUDIS ISD,137904,F,NON-METROPOLITAN FAST GROWING,2010-11
SANTA MARIA ISD,31913,H,RURAL,2010-11
SANTA ROSA ISD,31914,G,NON-METROPOLITAN STABLE,2010-11
SANTO ISD,182904,H,RURAL,2010-11
SAVOY ISD,74911,H,RURAL,2010-11
SCHERTZ-CIBOLO-U CITY ISD,94902,C,OTHER CENTRAL CITY,2010-11
SCHLEICHER ISD,207901,H,RURAL,2010-11
SCHOOL OF EXCELLENCE IN EDUCATION,15806,I,CHARTER SCHOOL DISTRICTS,2010-11
SCHOOL OF SCIENCE AND TECHNOLOGY,15827,I,CHARTER SCHOOL DISTRICTS,2010-11
SCHOOL OF SCIENCE AND TECHNOLOGY C,178809,I,CHARTER SCHOOL DISTRICTS,2010-11
SCHOOL OF SCIENCE AND TECHNOLOGY D,15831,I,CHARTER SCHOOL DISTRICTS,2010-11
SCHULENBURG ISD,75903,H,RURAL,2010-11
SCURRY-ROSSER ISD,129910,D,OTHER CENTRAL CITY SUBURBAN,2010-11
SEAGRAVES ISD,83901,H,RURAL,2010-11
SEALY ISD,8902,D,OTHER CENTRAL CITY SUBURBAN,2010-11
SEASHORE LEARNING CTR CHARTER,178802,I,CHARTER SCHOOL DISTRICTS,2010-11
SEASHORE MIDDLE ACAD,178808,I,CHARTER SCHOOL DISTRICTS,2010-11
SEGUIN ISD,94901,D,OTHER CENTRAL CITY SUBURBAN,2010-11
SEMINOLE ISD,83903,G,NON-METROPOLITAN STABLE,2010-11
SER-NINOS CHARTER SCHOOL,101802,I,CHARTER SCHOOL DISTRICTS,2010-11
SEYMOUR ISD,12901,H,RURAL,2010-11
SHALLOWATER ISD,152909,D,OTHER CENTRAL CITY SUBURBAN,2010-11
SHAMROCK ISD,242902,H,RURAL,2010-11
SHARYLAND ISD,108911,D,OTHER CENTRAL CITY SUBURBAN,2010-11
SHEKINAH RADIANCE ACADEMY,15819,I,CHARTER SCHOOL DISTRICTS,2010-11
SHELBYVILLE ISD,210903,H,RURAL,2010-11
SHELDON ISD,101924,B,MAJOR SUBURBAN,2010-11
SHEPHERD ISD,204904,E,INDEPENDENT TOWN,2010-11
SHERMAN ISD,91906,C,OTHER CENTRAL CITY,2010-11
SHINER ISD,143903,H,RURAL,2010-11
SIDNEY ISD,47905,H,RURAL,2010-11
SIERRA BLANCA ISD,115902,H,RURAL,2010-11
SILSBEE ISD,100904,E,INDEPENDENT TOWN,2010-11
SILVERTON ISD,23902,H,RURAL,2010-11
SIMMS ISD,19909,H,RURAL,2010-11
SINTON ISD,205906,G,NON-METROPOLITAN STABLE,2010-11
SIVELLS BEND ISD,49909,H,RURAL,2010-11
SKIDMORE-TYNAN ISD,13905,G,NON-METROPOLITAN STABLE,2010-11
SLATON ISD,152903,G,NON-METROPOLITAN STABLE,2010-11
SLIDELL ISD,249908,H,RURAL,2010-11
SLOCUM ISD,1909,H,RURAL,2010-11
SMITHVILLE ISD,11904,G,NON-METROPOLITAN STABLE,2010-11
SMYER ISD,110906,H,RURAL,2010-11
SNOOK ISD,26903,H,RURAL,2010-11
SNYDER ISD,208902,G,NON-METROPOLITAN STABLE,2010-11
SOCORRO ISD,71909,B,MAJOR SUBURBAN,2010-11
SOMERSET ISD,15909,G,NON-METROPOLITAN STABLE,2010-11
SOMERVILLE ISD,26902,H,RURAL,2010-11
SONORA ISD,218901,G,NON-METROPOLITAN STABLE,2010-11
SOUTH PLAINS,152803,I,CHARTER SCHOOL DISTRICTS,2010-11
SOUTH SAN ANTONIO ISD,15908,B,MAJOR SUBURBAN,2010-11
SOUTH TEXAS EDUCATIONAL TECHNOLOGI,108802,I,CHARTER SCHOOL DISTRICTS,2010-11
SOUTH TEXAS ISD,31916,F,NON-METROPOLITAN FAST GROWING,2010-11
SOUTHLAND ISD,85903,H,RURAL,2010-11
SOUTHSIDE ISD,15917,B,MAJOR SUBURBAN,2010-11
SOUTHWEST ISD,15912,B,MAJOR SUBURBAN,2010-11
SOUTHWEST PREPARATORY SCHOOL,15807,I,CHARTER SCHOOL DISTRICTS,2010-11
SOUTHWEST SCHOOL,101838,I,CHARTER SCHOOL DISTRICTS,2010-11
SPEARMAN ISD,98904,G,NON-METROPOLITAN STABLE,2010-11
SPLENDORA ISD,170907,D,OTHER CENTRAL CITY SUBURBAN,2010-11
SPRING BRANCH ISD,101920,B,MAJOR SUBURBAN,2010-11
SPRING CREEK ISD,117907,H,RURAL,2010-11
SPRING HILL ISD,92907,D,OTHER CENTRAL CITY SUBURBAN,2010-11
SPRING ISD,101919,B,MAJOR SUBURBAN,2010-11
SPRINGLAKE-EARTH ISD,140907,H,RURAL,2010-11
SPRINGTOWN ISD,184902,D,OTHER CENTRAL CITY SUBURBAN,2010-11
SPUR ISD,63903,H,RURAL,2010-11
SPURGER ISD,229905,H,RURAL,2010-11
ST ANTHONY SCHOOL,57836,I,CHARTER SCHOOL DISTRICTS,2010-11
ST MARY'S ACADEMY CHARTER SCHOOL,13801,I,CHARTER SCHOOL DISTRICTS,2010-11
STAFFORD MSD,79910,B,MAJOR SUBURBAN,2010-11
STAMFORD ISD,127906,H,RURAL,2010-11
STANTON ISD,156902,H,RURAL,2010-11
STAR CHARTER SCHOOL,227814,I,CHARTER SCHOOL DISTRICTS,2010-11
STAR ISD,167903,H,RURAL,2010-11
STEPHEN F AUSTIN STATE UNIVERSITY,174801,I,CHARTER SCHOOL DISTRICTS,2010-11
STEPHENVILLE,72903,E,INDEPENDENT TOWN,2010-11
STEPPING STONES CHARTER EL,101859,I,CHARTER SCHOOL DISTRICTS,2010-11
STERLING CITY ISD,216901,H,RURAL,2010-11
STOCKDALE ISD,247906,G,NON-METROPOLITAN STABLE,2010-11
STRATFORD ISD,211902,H,RURAL,2010-11
STRAWN ISD,182905,H,RURAL,2010-11
SUDAN ISD,140908,H,RURAL,2010-11
SULPHUR BLUFF ISD,112910,H,RURAL,2010-11
SULPHUR SPRINGS ISD,112901,E,INDEPENDENT TOWN,2010-11
SUMMIT INTERNATIONAL PREPARATORY,220816,I,CHARTER SCHOOL DISTRICTS,2010-11
SUNDOWN ISD,110907,H,RURAL,2010-11
SUNNYVALE ISD,57919,F,NON-METROPOLITAN FAST GROWING,2010-11
SUNRAY ISD,171902,H,RURAL,2010-11
SWEENY ISD,20906,D,OTHER CENTRAL CITY SUBURBAN,2010-11
SWEET HOME ISD,143905,H,RURAL,2010-11
SWEETWATER ISD,177902,G,NON-METROPOLITAN STABLE,2010-11
TAFT ISD,205907,G,NON-METROPOLITAN STABLE,2010-11
TAHOKA ISD,153904,H,RURAL,2010-11
TARKINGTON ISD,146907,G,NON-METROPOLITAN STABLE,2010-11
TATUM ISD,201910,D,OTHER CENTRAL CITY SUBURBAN,2010-11
TAYLOR ISD,246911,D,OTHER CENTRAL CITY SUBURBAN,2010-11
TEAGUE ISD,81904,G,NON-METROPOLITAN STABLE,2010-11
TEKOA ACADEMY OF ACCELERATED STUDI,123803,I,CHARTER SCHOOL DISTRICTS,2010-11
TEMPLE EDUCATION CENTER,14803,I,CHARTER SCHOOL DISTRICTS,2010-11
TEMPLE ISD,14909,D,OTHER CENTRAL CITY SUBURBAN,2010-11
TENAHA ISD,210904,F,NON-METROPOLITAN FAST GROWING,2010-11
TERLINGUA CSD,22004,H,RURAL,2010-11
TERRELL COUNTY ISD,222901,H,RURAL,2010-11
TERRELL ISD,129906,D,OTHER CENTRAL CITY SUBURBAN,2010-11
TEXARKANA ISD,19907,E,INDEPENDENT TOWN,2010-11
TEXAS CITY ISD,84906,D,OTHER CENTRAL CITY SUBURBAN,2010-11
TEXAS ELEMENTARY SCHOOL OF THE ART,220814,I,CHARTER SCHOOL DISTRICTS,2010-11
TEXAS EMPOWERMENT ACADEMY,227805,I,CHARTER SCHOOL DISTRICTS,2010-11
TEXAS PREPARATORY SCHOOL,105802,I,CHARTER SCHOOL DISTRICTS,2010-11
TEXAS SERENITY ACADEMY,170801,I,CHARTER SCHOOL DISTRICTS,2010-11
TEXHOMA ISD,211901,F,NON-METROPOLITAN FAST GROWING,2010-11
TEXLINE ISD,56902,H,RURAL,2010-11
THE EAST AUSTIN COLLEGE PREP ACADE,227824,I,CHARTER SCHOOL DISTRICTS,2010-11
THE LEGENDS ACADEMY,61803,I,CHARTER SCHOOL DISTRICTS,2010-11
THE RHODES SCHOOL,101861,I,CHARTER SCHOOL DISTRICTS,2010-11
THE VARNETT PUBLIC SCHOOL,101814,I,CHARTER SCHOOL DISTRICTS,2010-11
THORNDALE ISD,166905,H,RURAL,2010-11
THRALL ISD,246912,H,RURAL,2010-11
THREE RIVERS ISD,149902,H,RURAL,2010-11
THREE WAY ISD,72901,H,RURAL,2010-11
THROCKMORTON ISD,224901,H,RURAL,2010-11
TIDEHAVEN ISD,158902,G,NON-METROPOLITAN STABLE,2010-11
TIMPSON ISD,210905,H,RURAL,2010-11
TIOGA ISD,91907,H,RURAL,2010-11
TLC ACADEMY,226801,I,CHARTER SCHOOL DISTRICTS,2010-11
TOLAR ISD,111903,H,RURAL,2010-11
TOM BEAN ISD,91918,D,OTHER CENTRAL CITY SUBURBAN,2010-11
TOMBALL ISD,101921,B,MAJOR SUBURBAN,2010-11
TORNILLO ISD,71908,G,NON-METROPOLITAN STABLE,2010-11
TRANSFORMATIVE CHARTER ACADEMY,14802,I,CHARTER SCHOOL DISTRICTS,2010-11
TREETOPS SCHOOL INTERNATIONAL,220801,I,CHARTER SCHOOL DISTRICTS,2010-11
TRENT ISD,221905,H,RURAL,2010-11
TRENTON ISD,74912,H,RURAL,2010-11
TRINIDAD ISD,107907,H,RURAL,2010-11
TRINITY BASIN PREPARATORY,57813,I,CHARTER SCHOOL DISTRICTS,2010-11
TRINITY CHARTER SCHOOL,46802,I,CHARTER SCHOOL DISTRICTS,2010-11
TRINITY ISD,228903,G,NON-METROPOLITAN STABLE,2010-11
TROUP ISD,212904,G,NON-METROPOLITAN STABLE,2010-11
TROY ISD,14910,G,NON-METROPOLITAN STABLE,2010-11
TULIA ISD,219903,G,NON-METROPOLITAN STABLE,2010-11
TULOSO-MIDWAY ISD,178912,D,OTHER CENTRAL CITY SUBURBAN,2010-11
TURKEY-QUITAQUE ISD,96905,H,RURAL,2010-11
TWO DIMENSIONS PREPARATORY ACADEMY,101840,I,CHARTER SCHOOL DISTRICTS,2010-11
TYLER ISD,212905,C,OTHER CENTRAL CITY,2010-11
UNION GROVE ISD,230908,H,RURAL,2010-11
UNION HILL ISD,230904,H,RURAL,2010-11
UNITED ISD,240903,C,OTHER CENTRAL CITY,2010-11
UNIVERSAL ACADEMY,57808,I,CHARTER SCHOOL DISTRICTS,2010-11
UNIVERSITY OF HOUSTON CHARTER SCHO,101807,I,CHARTER SCHOOL DISTRICTS,2010-11
UNIVERSITY OF TEXAS ELEMENTARY CHA,227819,I,CHARTER SCHOOL DISTRICTS,2010-11
UNIVERSITY OF TEXAS UNIVERSITY CHA,227806,I,CHARTER SCHOOL DISTRICTS,2010-11
UTOPIA ISD,232904,H,RURAL,2010-11
UVALDE CISD,232903,E,INDEPENDENT TOWN,2010-11
VALENTINE ISD,122902,H,RURAL,2010-11
VALLEY MILLS ISD,18904,H,RURAL,2010-11
VALLEY VIEW ISD,49903,H,RURAL,2010-11
VALLEY VIEW ISD,108916,D,OTHER CENTRAL CITY SUBURBAN,2010-11
VAN ALSTYNE ISD,91908,D,OTHER CENTRAL CITY SUBURBAN,2010-11
VAN ISD,234906,D,OTHER CENTRAL CITY SUBURBAN,2010-11
VAN VLECK ISD,158906,G,NON-METROPOLITAN STABLE,2010-11
VANGUARD ACADEMY,108808,I,CHARTER SCHOOL DISTRICTS,2010-11
VEGA ISD,180902,H,RURAL,2010-11
VENUS ISD,126908,D,OTHER CENTRAL CITY SUBURBAN,2010-11
VERIBEST ISD,226908,H,RURAL,2010-11
VERNON ISD,244903,G,NON-METROPOLITAN STABLE,2010-11
VICTORIA ISD,235902,E,INDEPENDENT TOWN,2010-11
VIDOR ISD,181907,D,OTHER CENTRAL CITY SUBURBAN,2010-11
VISTA DEL FUTURO CHARTER SCHOOL,71809,I,CHARTER SCHOOL DISTRICTS,2010-11
VYSEHRAD ISD,143904,H,RURAL,2010-11
WACO CHARTER SCHOOL,161801,I,CHARTER SCHOOL DISTRICTS,2010-11
WACO ISD,161914,C,OTHER CENTRAL CITY,2010-11
WAELDER ISD,89905,H,RURAL,2010-11
WALCOTT ISD,59902,H,RURAL,2010-11
WALL ISD,226906,D,OTHER CENTRAL CITY SUBURBAN,2010-11
WALLER ISD,237904,E,INDEPENDENT TOWN,2010-11
WALNUT BEND ISD,49908,H,RURAL,2010-11
WALNUT SPRINGS ISD,18905,H,RURAL,2010-11
WARREN ISD,229904,G,NON-METROPOLITAN STABLE,2010-11
WASKOM ISD,102903,G,NON-METROPOLITAN STABLE,2010-11
WATER VALLEY ISD,226905,H,RURAL,2010-11
WAXAHACHIE FAITH FAMILY ACADEMY,70801,I,CHARTER SCHOOL DISTRICTS,2010-11
WAXAHACHIE ISD,70912,C,OTHER CENTRAL CITY,2010-11
WEATHERFORD ISD,184903,C,OTHER CENTRAL CITY,2010-11
WEBB CISD,240904,H,RURAL,2010-11
WEIMAR ISD,45905,H,RURAL,2010-11
WELLINGTON ISD,44902,H,RURAL,2010-11
WELLMAN-UNION CISD,223904,H,RURAL,2010-11
WELLS ISD,37909,H,RURAL,2010-11
WESLACO ISD,108913,D,OTHER CENTRAL CITY SUBURBAN,2010-11
WEST HARDIN COUNTY CISD,100908,H,RURAL,2010-11
WEST ISD,161916,G,NON-METROPOLITAN STABLE,2010-11
WEST ORANGE-COVE CISD,181906,G,NON-METROPOLITAN STABLE,2010-11
WEST OSO ISD,178915,D,OTHER CENTRAL CITY SUBURBAN,2010-11
WEST RUSK ISD,201914,F,NON-METROPOLITAN FAST GROWING,2010-11
WEST SABINE ISD,202905,H,RURAL,2010-11
WESTBROOK ISD,168903,H,RURAL,2010-11
WESTHOFF ISD,62905,H,RURAL,2010-11
WESTLAKE ACADEMY CHARTER SCHOOL,220810,I,CHARTER SCHOOL DISTRICTS,2010-11
WESTPHALIA ISD,73904,H,RURAL,2010-11
WESTWOOD ISD,1908,G,NON-METROPOLITAN STABLE,2010-11
WHARTON ISD,241904,G,NON-METROPOLITAN STABLE,2010-11
WHEELER ISD,242903,H,RURAL,2010-11
WHITE DEER ISD,33904,H,RURAL,2010-11
WHITE OAK ISD,92908,D,OTHER CENTRAL CITY SUBURBAN,2010-11
WHITE SETTLEMENT ISD,220920,B,MAJOR SUBURBAN,2010-11
WHITEFACE CISD,40902,H,RURAL,2010-11
WHITEHOUSE ISD,212906,D,OTHER CENTRAL CITY SUBURBAN,2010-11
WHITESBORO ISD,91909,D,OTHER CENTRAL CITY SUBURBAN,2010-11
WHITEWRIGHT ISD,91910,H,RURAL,2010-11
WHITHARRAL ISD,110908,H,RURAL,2010-11
WHITNEY ISD,109911,E,INDEPENDENT TOWN,2010-11
WICHITA FALLS ISD,243905,C,OTHER CENTRAL CITY,2010-11
WILDORADO ISD,180904,H,RURAL,2010-11
WILLIAMS PREPARATORY,57842,I,CHARTER SCHOOL DISTRICTS,2010-11
WILLIS ISD,170904,D,OTHER CENTRAL CITY SUBURBAN,2010-11
WILLS POINT ISD,234907,E,INDEPENDENT TOWN,2010-11
WILSON ISD,153907,H,RURAL,2010-11
WIMBERLEY ISD,105905,D,OTHER CENTRAL CITY SUBURBAN,2010-11
WINDTHORST ISD,5904,H,RURAL,2010-11
WINFIELD ISD,225905,H,RURAL,2010-11
WINFREE ACADEMY CHARTER SCHOOLS,57828,I,CHARTER SCHOOL DISTRICTS,2010-11
WINK-LOVING ISD,248902,H,RURAL,2010-11
WINNSBORO ISD,250907,E,INDEPENDENT TOWN,2010-11
WINONA ISD,212910,D,OTHER CENTRAL CITY SUBURBAN,2010-11
WINTERS ISD,200904,H,RURAL,2010-11
WODEN ISD,174906,G,NON-METROPOLITAN STABLE,2010-11
WOLFE CITY ISD,116909,H,RURAL,2010-11
WOODSBORO ISD,196902,H,RURAL,2010-11
WOODSON ISD,224902,H,RURAL,2010-11
WOODVILLE ISD,229903,G,NON-METROPOLITAN STABLE,2010-11
WORTHAM ISD,81905,H,RURAL,2010-11
WYLIE ISD,43914,F,NON-METROPOLITAN FAST GROWING,2010-11
WYLIE ISD,221912,D,OTHER CENTRAL CITY SUBURBAN,2010-11
YANTIS ISD,250905,H,RURAL,2010-11
YES PREP PUBLIC SCHOOLS INC,101845,I,CHARTER SCHOOL DISTRICTS,2010-11
YOAKUM ISD,62903,G,NON-METROPOLITAN STABLE,2010-11
YORKTOWN ISD,62904,H,RURAL,2010-11
YSLETA ISD,71905,A,MAJOR URBAN,2010-11
ZAPATA COUNTY ISD,253901,D,OTHER CENTRAL CITY SUBURBAN,2010-11
ZAVALLA ISD,3906,H,RURAL,2010-11
ZEPHYR ISD,25906,H,RURAL,2010-11
ZOE LEARNING ACADEMY,101850,I,CHARTER SCHOOL DISTRICTS,2010-11
A+ ACADEMY,57829,I,CHARTER SCHOOL DISTRICTS,2009-10
ABBOTT ISD,109901,H,RURAL,2009-10
ABERNATHY ISD,95901,G,NON-METROPOLITAN STABLE,2009-10
ABILENE ISD,221901,C,OTHER CENTRAL CITY,2009-10
ACADEMY ISD,14901,G,NON-METROPOLITAN STABLE,2009-10
ACADEMY OF ACCELERATED LEARNING IN,101810,I,CHARTER SCHOOL DISTRICTS,2009-10
ACADEMY OF CAREERS AND TECHNOLOGIE,15816,I,CHARTER SCHOOL DISTRICTS,2009-10
ACADEMY OF DALLAS,57810,I,CHARTER SCHOOL DISTRICTS,2009-10
ACCELERATED INTERMEDIATE ACADEMY,101849,I,CHARTER SCHOOL DISTRICTS,2009-10
ADRIAN ISD,180903,H,RURAL,2009-10
ADVANTAGE ACADEMY,57806,I,CHARTER SCHOOL DISTRICTS,2009-10
AGUA DULCE ISD,178901,H,RURAL,2009-10
ALAMO HEIGHTS ISD,15901,B,MAJOR SUBURBAN,2009-10
ALBA-GOLDEN ISD,250906,G,NON-METROPOLITAN STABLE,2009-10
ALBANY ISD,209901,H,RURAL,2009-10
ALDINE ISD,101902,B,MAJOR SUBURBAN,2009-10
ALEDO ISD,184907,B,MAJOR SUBURBAN,2009-10
ALICE ISD,125901,E,INDEPENDENT TOWN,2009-10
ALIEF ISD,101903,B,MAJOR SUBURBAN,2009-10
ALIEF MONTESSORI COMMUNITY SCHOOL,101815,I,CHARTER SCHOOL DISTRICTS,2009-10
ALLEN ISD,43901,D,OTHER CENTRAL CITY SUBURBAN,2009-10
ALPHA CHARTER SCHOOL,57832,I,CHARTER SCHOOL DISTRICTS,2009-10
ALPINE ISD,22901,G,NON-METROPOLITAN STABLE,2009-10
ALTO ISD,37901,H,RURAL,2009-10
ALVARADO ISD,126901,D,OTHER CENTRAL CITY SUBURBAN,2009-10
ALVIN ISD,20901,B,MAJOR SUBURBAN,2009-10
ALVORD ISD,249901,H,RURAL,2009-10
AMARILLO ISD,188901,C,OTHER CENTRAL CITY,2009-10
AMBASSADORS PREPARATORY ACADEMY,84804,I,CHARTER SCHOOL DISTRICTS,2009-10
AMERICAN YOUTHWORKS CHARTER SCHOOL,227801,I,CHARTER SCHOOL DISTRICTS,2009-10
AMHERST ISD,140901,H,RURAL,2009-10
AMIGOS POR VIDA-FRIENDS FOR LIFE P,101819,I,CHARTER SCHOOL DISTRICTS,2009-10
ANAHUAC ISD,36901,G,NON-METROPOLITAN STABLE,2009-10
ANDERSON-SHIRO CISD,93901,F,NON-METROPOLITAN FAST GROWING,2009-10
ANDREWS ISD,2901,D,OTHER CENTRAL CITY SUBURBAN,2009-10
ANGLETON ISD,20902,D,OTHER CENTRAL CITY SUBURBAN,2009-10
ANNA ISD,43902,D,OTHER CENTRAL CITY SUBURBAN,2009-10
ANSON ISD,127901,H,RURAL,2009-10
ANTHONY ISD,71906,G,NON-METROPOLITAN STABLE,2009-10
ANTON ISD,110901,H,RURAL,2009-10
APPLE SPRINGS ISD,228905,H,RURAL,2009-10
AQUILLA ISD,109912,H,RURAL,2009-10
ARANSAS COUNTY ISD,4901,E,INDEPENDENT TOWN,2009-10
ARANSAS PASS ISD,205901,G,NON-METROPOLITAN STABLE,2009-10
ARCHER CITY ISD,5901,H,RURAL,2009-10
ARGYLE ISD,61910,D,OTHER CENTRAL CITY SUBURBAN,2009-10
